ac_no,ac_name,district,region,reservation,is_reserved,winner_party_2021,margin_pct_polled_2021,turnout_pct_2021,total_electors_2021,votes_polled_2021,valid_votes_2021,tmc_pct_2021,bjp_pct_2021,left_inc_pct_2021,other_pct_2021,winner_pct_2021,winner_party_2026,margin_pct_polled_2026,turnout_pct_2026,total_electors_2026,votes_polled_2026,valid_votes_2026,tmc_pct_2026,bjp_pct_2026,left_inc_pct_2026,other_pct_2026,winner_pct_2026,swing_tmc,swing_bjp,tmc_lead_2021,tmc_lead_2026,roll_change_pct,turnout_change,third_party_hold_2021
280,ASANSOL DAKSHIN,Paschim Bardhaman,Rarh Bengal,GEN,0,BJP,2.3,71.01,274245,194737,191271,43.59991844032812,45.945804643673114,8.350455636243863,2.1038212797549027,45.13,BJP,18.93,90.14,239405,215792,212935,36.979829525442035,56.158921736680206,5.521403245121751,1.3398454927560053,55.42,-6.620088914886082,10.213117093007092,-2.345886203344996,-19.17909221123817,-12.70396907874346,19.129999999999995,0.0
281,ASANSOL UTTAR,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,10.94,69.95,275796,192907,189559,53.24516377486693,42.10878934790751,0.0,4.646046877225561,52.32,BJP,5.52,88.83,237089,210607,207852,44.695745049362046,50.28385582048765,3.251833035044166,1.7685660951061333,49.63,-8.549418725504886,8.175066472580141,11.13637442695942,-5.588110771125606,-14.034648798387217,18.879999999999995,0.0
282,KULTI,Paschim Bardhaman,Rarh Bengal,GEN,0,BJP,0.39,69.44,251671,174767,171214,46.978050860326846,47.374630579275056,3.3846531241604074,2.262665436237691,46.41,BJP,13.93,90.2,210912,190239,187700,41.06126798082046,55.17847629195525,2.9259456579648373,0.8343100692594566,54.44,-5.9167828795063855,7.803845712680193,-0.3965797189482103,-14.117208311134789,-16.19535027873692,20.760000000000005,0.0
283,BARABANI,Paschim Bardhaman,Rarh Bengal,GEN,0,TMC,13.86,75.0,225596,169207,166168,53.21722594001252,39.100789562370615,5.39333686389678,2.2886476337200907,52.26,BJP,6.33,91.68,202090,185274,182509,43.86359028869809,50.286287251587595,1.4360935625092461,4.414028897205069,49.54,-9.353635651314427,11.18549768921698,14.116436377641904,-6.422696962889503,-10.419510984237313,16.680000000000007,0.0
284,DUBRAJPUR,Birbhum,Rarh Bengal,SC,1,BJP,1.89,84.64,241742,204599,201442,46.77276834026668,48.69044191380149,2.985474727216767,1.5513150187150644,47.94,BJP,12.56,94.99,231802,220193,217706,41.2436956262115,53.94293221133088,3.6466610934011925,1.166711069056434,53.33,-5.529072714055182,5.252490297529384,-1.9176735735348132,-12.69923658511938,-4.111821694202911,10.349999999999994,0.0
285,SURI,Birbhum,Rarh Bengal,GEN,0,TMC,3.35,82.94,263557,218590,216755,48.843625291227426,45.46654056423151,3.8139835297917,1.8758506147493714,48.43,BJP,12.03,94.49,252420,238504,236672,40.3752873174689,52.49585924824229,4.537080854515954,2.5917725797728504,52.09,-8.468337973758523,7.029318684010782,3.3770847269959177,-12.120571930773387,-4.225651377121453,11.549999999999997,0.0
286,BOLPUR,Birbhum,Rarh Bengal,GEN,0,TMC,9.68,84.07,273896,230260,226923,51.313881801315866,41.49557338832996,4.3913574207991255,2.799187389555047,50.57,TMC,5.35,94.61,260376,246339,242785,47.33200156517083,41.900035010400146,0.9930597030294294,9.774903721399593,46.65,-3.981880236145038,0.4044616220701869,9.818308412985907,5.431966554770682,-4.9361801559716145,10.540000000000006,0.0
287,NANOOR,Birbhum,Rarh Bengal,SC,1,TMC,2.83,85.02,276777,235328,233179,48.081516774666675,45.221053353861194,5.5227957920739,1.1746340793982306,47.64,TMC,3.21,93.88,269616,253119,251254,47.724613339489125,44.49202798761413,5.4243912534725816,2.3589674194241685,47.37,-0.35690343517754997,-0.7290253662470647,2.8604634208054804,3.232585351874995,-2.5872814576355707,8.86,0.0
288,LABPUR,Birbhum,Rarh Bengal,GEN,0,TMC,8.48,88.33,240044,212027,208970,51.88448102598459,43.282767861415515,3.1004450399578887,1.732306072642006,51.14,BJP,1.59,94.8,235224,223002,219857,46.78131694692459,48.39600285640211,3.3744661302573946,1.4482140664158976,47.71,-5.103164079060001,5.113234994986598,8.601713164569077,-1.6146859094775223,-2.0079652063788256,6.469999999999999,0.0
289,SAINTHIA,Birbhum,Rarh Bengal,SC,1,TMC,6.87,86.68,255959,221866,220124,50.231687594265054,43.30695426214316,4.710526793988842,1.750831349602951,49.84,BJP,4.27,95.54,252442,241175,239624,43.71348445898575,48.01438920976196,5.697259039161353,2.5748672920909423,47.71,-6.5182031352793075,4.7074349476188,6.924733332121896,-4.300904750776212,-1.3740481874050192,8.86,0.0
290,MAYURESWAR,Birbhum,Rarh Bengal,GEN,0,TMC,6.05,86.45,230682,199425,196622,51.07515944299214,44.93393414775559,0.0,3.990906409252271,50.36,BJP,9.84,94.33,226302,213473,211017,40.78060061511632,50.733353236942996,5.611870133685912,2.874176014254776,50.15,-10.294558827875818,5.799419089187403,6.141225295236545,-9.952752621826676,-1.898717715296383,7.8799999999999955,0.0
291,RAMPURHAT,Birbhum,Rarh Bengal,GEN,0,TMC,3.9,83.33,260812,217323,213942,48.272896392480206,44.31294462985295,5.472043824961905,1.9421151527049387,47.52,BJP,10.37,95.21,245490,233723,230560,38.032182512144345,48.54267869535045,10.766828591256072,2.6583102012491326,47.89,-10.24071388033586,4.229734065497503,3.959951762627256,-10.510496183206108,-5.874729690351666,11.879999999999995,0.0
292,HANSAN,Birbhum,Rarh Bengal,GEN,0,TMC,24.03,84.88,248113,210606,208186,52.015505365394404,27.704072319944665,19.124725005523906,1.1556973091370217,51.42,TMC,12.49,95.33,237652,226555,225402,45.79506836674031,33.24061010993691,18.79619524227824,2.168126281044534,45.56,-6.220436998654094,5.536537789992245,24.31143304544974,12.5544582568034,-4.2162240591988365,10.450000000000003,0.0
293,NALHATI,Birbhum,Rarh Bengal,GEN,0,TMC,27.4,84.83,244837,207696,205796,57.0652490816148,29.41407996268149,10.363661101284768,3.157009854418939,56.54,TMC,6.04,95.89,232063,222519,220986,39.70568271293204,33.62113437050311,22.3570723937263,4.316110522838551,39.43,-17.359566368682763,4.207054407821616,27.65116911893331,6.084548342428931,-5.217348685043522,11.060000000000002,0.0
294,MURARAI,Birbhum,Rarh Bengal,GEN,0,TMC,45.08,82.8,263200,217917,216408,67.69435510702007,22.295848582307492,7.988152009167868,2.0216443015045655,67.23,TMC,15.52,96.33,252203,242939,241773,40.07974422288676,24.26408242442291,29.918146360429,5.738026992261336,39.89,-27.614610884133313,1.968233842115417,45.39850652471258,15.81566179846385,-4.178191489361705,13.530000000000001,0.0
